,ticker,date,MCAP,pct_change_mcap,rank,position
96,KARTKIN,19-02-2014,2666566,0,0,0
45,DISAQ,09-02-2016,14383642.87,0,1,1
195,WARRENTEA,11-11-2015,370837.19,0,1,1
123,NOVARTIND,09-02-2016,4488413.58,0,4,4
154,SHABCHM,20-05-2014,250349,0,4,4
86,JAYSYN,09-02-2016,2259620.22,0,5,5
29,CAMPHOR,09-02-2016,1625285.42,0,6,6
190,ULTRAMAR,09-02-2016,1603994.92,0,7,7
10,ANNAINFRA,15-05-2015,218194,0,7,7
129,PANAENERG,09-02-2016,1014015.32,0,8,8
56,GLOBOFFS,09-02-2016,927411.79,0,9,9
140,POLYPLEX,09-02-2016,706578.34,0,10,10
52,GANESHBE,09-02-2016,663941.9,0,11,11
142,PRECOT,11-11-2015,162728.14,0,12,12
93,JVLAGRO,09-02-2016,626794.42,0,12,12
170,STRLGUA,24-02-2013,103815,0,13,13
59,GOODRICKE,09-02-2016,597298.21,0,13,13
179,TPLPLAST,09-02-2016,544210.58,0,14,14
15,ASHOKALC,09-02-2016,521949.82,0,15,15
122,NILA,09-02-2016,501490.98,0,16,16
64,GUJTHEM,09-02-2016,446878.64,0,18,18
126,PACIFICI,09-02-2016,429663.28,0,20,20
84,JAGAJITIND,11-11-2015,115850.24,0,21,21
153,SAYAJIHOTL,09-02-2016,406071.86,0,21,21
102,KREBSBIO,09-02-2016,387553.56,0,22,22
4,AIMCOPEST,11-11-2015,103874.33,0,22,22
188,UCALFUEL,09-02-2016,375882.6,0,23,23
14,ASALCBR,09-02-2016,361716.66,0,24,24
100,KINETICENG,09-02-2016,304692.5,0,26,26
169,STDBAT,09-02-2016,284982.16,0,27,27
23,BDH,09-02-2016,281738.69,0,28,28
41,DCM,09-02-2016,272202.32,0,30,30
192,VIKASWSP,09-02-2016,261972.9,0,32,32
42,DCMSRMIND,09-02-2016,254709.74,0,33,33
39,COREEDUTEC,11-11-2015,63483.38,0,34,34
97,KARURKCP,09-02-2016,252630.59,0,34,34
151,SAMBHAAV,09-02-2016,252547.42,0,35,35
43,DHARAMSI,09-02-2016,237438.93,0,37,37
101,KLBRENGB,09-02-2016,232282.64,0,38,38
131,PANCM,09-02-2016,227736.23,0,39,39
150,RUBFILA,09-02-2016,225823.41,0,40,40
94,JYOTISTRUC,09-02-2016,224964.03,0,41,41
110,METROGLOBL,09-02-2016,214041.56,0,42,42
180,TRANSASIA,19-02-2014,35026,0,42,42
38,CORALFINAC,09-02-2016,212849.52,0,43,43
161,SKIL,11-11-2015,51424.31,0,43,43
144,PUNJCOMMU,09-02-2016,205336.85,0,45,45
115,MPILCORPL,09-02-2016,197519.25,0,47,47
165,SPHEREGSL,09-02-2016,196715.31,0,49,49
68,HINDTIN,09-02-2016,190256.09,0,51,51
99,KEMROCK,11-11-2015,43856.2,0,52,52
75,ILFSENGG,09-02-2016,184517.63,0,53,53
49,FERROALL,09-02-2016,176589.14,0,54,54
28,BRIGHTBR,09-02-2016,174620.88,0,56,56
98,KAVVERITEL,11-11-2015,38090.03,0,57,57
155,SHARP,09-02-2016,158680.73,0,58,58
117,MYSORPETRO,09-02-2016,158126.29,0,59,59
177,TATAYODOGA,09-02-2016,139109,0,61,61
12,ARIHANT,09-02-2016,139053.55,0,62,62
22,BCPAL,13-08-2015,29030.05,0,66,66
132,PARENTLD,09-02-2016,131707.22,0,67,67
18,BALASORE,09-02-2016,127188.54,0,69,69
124,OSSWM,15-05-2015,29385.32,0,69,69
70,HPCBL,14-02-2015,26426.96,0,73,73
85,JAYKAY,09-02-2016,118927.38,0,74,74
183,TRINETRA,09-02-2016,110084.06,0,75,75
36,CNEL,14-02-2015,25543,0,76,76
87,JCTLTD,09-02-2016,106896.03,0,77,77
189,UDAICEMENT,09-02-2016,93561.75,0,79,79
193,VRWODAR,19-02-2014,18030,0,79,79
0,21STCENMGM,09-02-2016,92563.76,0,80,80
82,ISWL,09-02-2016,92314.26,0,81,81
105,LORDSCHLO,09-02-2016,85965.92,0,83,83
166,SPLIL,09-02-2016,84884.76,0,84,84
191,VEERHEALTH,09-02-2016,83166,0,86,86
171,SUDTINDB,09-02-2016,71411.87,0,92,92
60,GOVINDRU,09-02-2016,59934.96,0,96,96
116,MPL,09-02-2016,57911.26,0,98,98
24,BELAGRO,19-02-2014,12058,0,101,101
159,SHRJAGP,13-08-2015,20090,0,103,103
181,TRANSCHEM,09-02-2016,53808.4,0,103,103
200,YANTRA,03-02-2017,20731.93,0,104,104
127,PACL,09-02-2016,52145.08,0,106,106
51,GALADA,09-02-2016,51091.65,0,109,109
37,CONTROLPR,11-11-2015,20055.56,0,110,110
133,PASUSPG,09-02-2016,49899.6,0,111,111
157,SHREDIGCEM,09-02-2016,49594.66,0,112,112
201,ZYLOG,11-11-2015,19349.96,0,113,113
134,PERMAGN,09-02-2016,48513.5,0,114,114
57,GOENKA,09-02-2016,48513.5,0,115,115
107,MADHURIND,09-02-2016,46961.07,0,117,117
149,RISHITECH,09-02-2016,45491.8,0,119,119
139,POCHIRAJU,09-02-2016,44992.81,0,120,120
63,GUJRAFIA,11-11-2015,16799.53,0,121,121
130,PANCHMAHQ,09-02-2016,42497.83,0,126,126
9,ANDHRAPET,09-02-2016,41167.17,0,129,129
125,OSWALAGRO,09-02-2016,40945.39,0,130,130
156,SHRAJSYNQ,09-02-2016,38394.97,0,133,133
108,MAHAPEXLTD,09-02-2016,38117.75,0,134,134
67,HIMGRANI,09-02-2016,37646.48,0,135,135
143,PREMCAP,18-08-2014,10976.43,0,135,135
141,PRAGBOS,11-11-2015,13639.22,0,136,136
164,SPECTACLE,09-02-2016,36038.6,0,138,138
30,CEENIK,09-02-2016,34929.72,0,143,143
54,GIRDSGA,09-02-2016,32046.63,0,148,148
113,MODIPON,09-02-2016,31880.3,0,149,149
136,PFRL,09-05-2016,11057.46,0,150,150
174,SURYVANSP,09-02-2016,31824.86,0,150,150
76,INDIANACRY,09-02-2016,31464.47,0,153,153
31,CENTPROV,18-08-2014,9680.51,0,155,155
90,JMA,15-05-2015,10326.26,0,159,159
89,JINDCOT,09-02-2016,30605.09,0,159,159
112,MITL,11-11-2015,11365.2,0,160,160
199,WSIND,09-02-2016,30549.64,0,160,160
118,OPTOCIRCUI,09-05-2009,1643.11,0,198,198
139,SANWARIA,29-05-2011,4328.87,0,194,194
168,VIPIND,29-05-2011,9478.13,0,119,119
113,NOVARTIND,25-05-2006,1851.21,0,196,196
77,ILFSENGG,14-05-2008,4075.89,0,169,169
40,COXAMPKINGS,04-05-2010,6059,0,147,147
93,KGNIND,04-05-2010,8246.74,0,116,116
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
